NMeta,Pi,Time
742,3.1420800000,0.002207740
743,3.1407704000,0.002372720
744,3.1417232000,0.002257423
745,3.1404272000,0.002214954
746,3.1409664000,0.002377389
747,3.1411400000,0.002209904
748,3.1415408000,0.002218310
749,3.1409416000,0.002446278
750,3.1416128000,0.002222178
751,3.1428688000,0.002237205
752,3.1409168000,0.002365246
753,3.1428384000,0.002240943
754,3.1407144000,0.002399590
755,3.1407072000,0.002225634
756,3.1410104000,0.002217148
757,3.1419944000,0.002394029
758,3.1411912000,0.002267743
759,3.1419328000,0.002425399
760,3.1427800000,0.002212479
761,3.1406176000,0.002221556
762,3.1414512000,0.002392177
763,3.1412824000,0.002276279
764,3.1414232000,0.002260238
765,3.1416680000,0.002353023
766,3.1416480000,0.002228079
767,3.1425008000,0.002356108
768,3.1424664000,0.002275027
769,3.1418528000,0.002238408
770,3.1415104000,0.002409148
771,3.1425136000,0.002214483
772,3.1422896000,0.002367420
773,3.1420504000,0.002246152
774,3.1413864000,0.002216086
775,3.1414872000,0.002430528
776,3.1407624000,0.002226506
777,3.1411960000,0.002225013
778,3.1416024000,0.002476504
779,3.1422696000,0.002225714
780,3.1414760000,0.002235773
781,3.1422656000,0.002392667
782,3.1425560000,0.002246754
783,3.1420616000,0.002460214
784,3.1418528000,0.002210164
785,3.1409320000,0.002238619
786,3.1417744000,0.002365706
787,3.1416288000,0.002270599
788,3.1412536000,0.002439585
789,3.1420592000,0.002223550
790,3.1419056000,0.002214903
791,3.1411800000,0.002466645
792,3.1416144000,0.002241364
793,3.1421624000,0.002263004
794,3.1419856000,0.002384832
795,3.1419096000,0.002226145
796,3.1416344000,0.002384292
797,3.1420440000,0.002218430
798,3.1417856000,0.002221446
799,3.1408320000,0.002373762
800,3.1409096000,0.002248757
801,3.1418304000,0.002250390
802,3.1416096000,0.002368922
803,3.1405480000,0.002229010
804,3.1426608000,0.002366999
805,3.1422544000,0.002236094
806,3.1425568000,0.002224121
807,3.1414112000,0.002374022
808,3.1421056000,0.002235342
809,3.1415536000,0.002375505
810,3.1415728000,0.002241013
811,3.1418976000,0.002230633
812,3.1419512000,0.002384933
813,3.1420792000,0.002228479
814,3.1425448000,0.002215756
815,3.1412456000,0.002388900
816,3.1405488000,0.002276910
817,3.1427832000,0.002241143
818,3.1412184000,0.002351109
819,3.1413848000,0.002220564
820,3.1421168000,0.002414858
821,3.1414944000,0.002243157
822,3.1395776000,0.002256762
823,3.1414840000,0.002369304
824,3.1420248000,0.002224011
825,3.1414152000,0.002383079
826,3.1422080000,0.002254187
827,3.1414224000,0.002205627
828,3.1426784000,0.002385934
829,3.1413504000,0.002228139
830,3.1424096000,0.002267011
831,3.1431296000,0.002450867
832,3.1408776000,0.002210926
833,3.1408216000,0.002376086
834,3.1411008000,0.002228279
835,3.1415600000,0.002230874
836,3.1431280000,0.003594811
837,3.1417088000,0.002167465
838,3.1398752000,0.002294583
839,3.1412664000,0.002260429
840,3.1408928000,0.002267573
841,3.1413496000,0.002353263
842,3.1415768000,0.002224803
843,3.1406896000,0.002387337
844,3.1421144000,0.002237887
845,3.1411280000,0.002223780
846,3.1417040000,0.002372008
847,3.1417088000,0.002247525
848,3.1419560000,0.002397216
849,3.1412784000,0.002231395
850,3.1398880000,0.002232867
851,3.1401216000,0.002374253
852,3.1422720000,0.002222458
853,3.1407208000,0.002212259
854,3.1416200000,0.002406543
855,3.1408072000,0.002235142
856,3.1411016000,0.002225643
857,3.1409064000,0.002413706
858,3.1410648000,0.002204655
859,3.1416984000,0.002470172
860,3.1415960000,0.002273643
861,3.1418816000,0.002182654
862,3.1423128000,0.002410631
863,3.1416104000,0.002239800
864,3.1414560000,0.002363913
865,3.1408600000,0.002280407
866,3.1417856000,0.002223049
867,3.1415440000,0.002370105
868,3.1405760000,0.002248817
869,3.1423448000,0.002229792
870,3.1426008000,0.002372930
871,3.1394488000,0.002215214
872,3.1411008000,0.002214002
873,3.1410568000,0.002349426
874,3.1411680000,0.002264617
875,3.1405232000,0.002381486
876,3.1414632000,0.002217669
877,3.1420712000,0.002210505
878,3.1406696000,0.002415270
879,3.1425328000,0.002254227
880,3.1412160000,0.002386777
881,3.1414392000,0.002223369
882,3.1419768000,0.002224963
883,3.1411856000,0.002381115
884,3.1416248000,0.002241254
885,3.1407216000,0.002259557
886,3.1413000000,0.002397607
887,3.1419504000,0.002204744
888,3.1425120000,0.002405932
889,3.1416648000,0.002252695
890,3.1414056000,0.002216878
891,3.1419624000,0.002432331
892,3.1426408000,0.002208241
893,3.1402304000,0.002244549
894,3.1423936000,0.002410070
895,3.1427088000,0.002220784
